No_,name,piece_per_cost,number,cost,sell_price_lower,sell_price_avg,profit,description,remark,localtion,type,Brand
1,AMP MBA AV-268,1.0,0.0,950.0,1500.0,1800.0,850.0,null,null,"F, A4",AMP,null
2,AMP SOUNDMILAN AV-3346,1.0,0,2800.0,3500.0,3800.0,1000.0,null,null,"A4, F",AMP,null
3,AMP SOUNDMILAN AV-3341 AC/DC,1.0,0.0,1200.0,1900.0,2100.0,900.0,null,null,A4,AMP,null
4,AMP SOUNDMILAN AV-3325 AC/DC,1.0,4.0,1100.0,1600.0,1800.0,700.0,null,null,A4,AMP,null
5,AMP SOUNDMILAN AV-3330 AC/DC,1.0,3.0,950.0,1500.0,1800.0,850.0,null,null,A4,AMP,null
6,AMP Kingwa AC/DC-298,1.0,1.0,1100.0,1600.0,1800.0,700.0,null,null,A4,AMP,null
7,AMP SOUNDMILAN AV-3321,1.0,1.0,750.0,1150.0,1300.0,550.0,null,null,A4,AMP,null
8,AMP SOUNDMILAN AV-302,1.0,1.0,2300.0,3300.0,3500.0,1200.0,null,null,"A4, F",AMP,null
9,AMP SOUNDMILAN AV-3345,1.0,1.0,3000.0,3700.0,3900.0,900.0,null,null,"A4, F",AMP,null
10,AMP SOUNDMILAN AV-3353,1.0,1.0,3000.0,3700.0,3900.0,900.0,null,null,"A4, F",AMP,null
11,AMP SOUNDMILAN AV-308,1.0,1.0,3000.0,3700.0,3900.0,900.0,null,null,"A4, F",AMP,null
12,AMP FANNY AV-368A,1.0,3.0,3000.0,3700.0,3900.0,900.0,null,null,A4,AMP,null
13,AMP MBA MB7000 AV-191A,1.0,10.0,2500.0,3200.0,3500.0,1000.0,null,null,"A4, F",AMP,null
14,AMP FANNY AV-168A,1.0,3.0,1900.0,2800.0,2900.0,1000.0,null,null,"A4, F",AMP,null
15,AMP NPE KA-100,1.0,1.0,3700.0,4500.0,4700.0,1000.0,null,null,"A4 ,F",AMP,null
16,AMP SOUNDMILAN AV-307 AC/DC,1.0,1.0,950.0,1500.0,1800.0,850.0,null,null,"F, A4",AMP,null
17,AMP SOUNDMILAN AV-3352,1.0,1.0,null,null,null,null,null,null,N,AMP,null
18,Drop wire  2x0.90 200 m Siam unity industry co.ltd,1.0,4.0,1550.0,1900.0,1950.0,400.0,null,null,H,Drop_wire,null
19,Drop wire  2cx0.90 200 m Thai united telecom,1.0,4.0,750.0,990.0,1450.0,700.0,null,null,H,Drop_wire,null
20,Drop wire  2cx0.90 200 m Convergent,1.0,2.0,900.0,1300.0,1400.0,500.0,null,null,H,Drop_wire,null
21,สาย HDMI 1.8 m,1.0,6.0,60.0,null,null,null,null,null,H,HDMI,null
22,สาย HDMI 1.5 m,1.0,11.0,60.0,null,null,null,null,null,H,HDMI,null
23,ดอกลำโพง TW OBOM #S-05,1.0,20.0,85.0,null,null,null,null,null,R2,L,null
24,ดอกลำโพง 6.5 inch DECCON DC-s615B,1.0,5.0,120.0,160.0,160.0,null,null,null,"R2, H",Loudspeaker,null
25,ดอกลำโพง 4 inch DECCON DC-s410,1.0,20.0,85.0,130.0,130.0,null,null,null,"R2, H",Loudspeaker,null
26,ดอกลำโพง 18 inch OBOM OB4807 1000 Watts,1.0,2.0,1730.0,null,null,null,null,null,A4,Loudspeaker,null
27,ดอกลำโพง 10 inch OBOM 150 Watts,1.0,13.0,290.0,380.0,400.0,null,null,260 + 30 (ค่าส่ง),A4,Loudspeaker,null
